corpus,run,fold,score
callhome,21,0,0.80000000000000004
callhome,21,1,0.96153846153846156
callhome,21,2,0.76000000000000001
callhome,21,3,0.88
callhome,21,4,0.80769230769230771
callhome,21,5,0.71999999999999997
callhome,21,6,0.76000000000000001
callhome,21,7,0.56000000000000005
callhome,21,8,0.80769230769230771
callhome,21,9,0.83999999999999997
callhome,22,0,0.71999999999999997
callhome,22,1,0.76923076923076927
callhome,22,2,0.80000000000000004
callhome,22,3,0.80000000000000004
callhome,22,4,0.80769230769230771
callhome,22,5,0.80000000000000004
callhome,22,6,0.88
callhome,22,7,0.76000000000000001
callhome,22,8,0.80769230769230771
callhome,22,9,0.76000000000000001
callhome,23,0,0.92000000000000004
callhome,23,1,0.65384615384615385
callhome,23,2,0.59999999999999998
callhome,23,3,0.83999999999999997
callhome,23,4,0.92307692307692313
callhome,23,5,0.88
callhome,23,6,0.80000000000000004
callhome,23,7,0.76000000000000001
callhome,23,8,0.84615384615384615
callhome,23,9,0.76000000000000001
callhome,24,0,0.71999999999999997
callhome,24,1,0.84615384615384615
callhome,24,2,0.88
callhome,24,3,0.80000000000000004
callhome,24,4,0.80769230769230771
callhome,24,5,0.71999999999999997
callhome,24,6,0.71999999999999997
callhome,24,7,0.68000000000000005
callhome,24,8,0.92307692307692313
callhome,24,9,0.80000000000000004
switchboardcell,0,0,0.62
switchboardcell,0,1,0.73999999999999999
switchboardcell,0,2,0.73999999999999999
switchboardcell,0,3,0.57999999999999996
switchboardcell,0,4,0.71999999999999997
switchboardcell,0,5,0.71999999999999997
switchboardcell,0,6,0.71999999999999997
switchboardcell,0,7,0.68000000000000005
switchboardcell,0,8,0.69999999999999996
switchboardcell,0,9,0.76000000000000001
switchboardcell,1,0,0.69999999999999996
switchboardcell,1,1,0.57999999999999996
switchboardcell,1,2,0.69999999999999996
switchboardcell,1,3,0.78000000000000003
switchboardcell,1,4,0.76000000000000001
switchboardcell,1,5,0.68000000000000005
switchboardcell,1,6,0.71999999999999997
switchboardcell,1,7,0.73999999999999999
switchboardcell,1,8,0.62
switchboardcell,1,9,0.68000000000000005
switchboardcell,2,0,0.68000000000000005
switchboardcell,2,1,0.68000000000000005
switchboardcell,2,2,0.78000000000000003
switchboardcell,2,3,0.64000000000000001
switchboardcell,2,4,0.64000000000000001
switchboardcell,2,5,0.66000000000000003
switchboardcell,2,6,0.69999999999999996
switchboardcell,2,7,0.68000000000000005
switchboardcell,2,8,0.66000000000000003
switchboardcell,2,9,0.76000000000000001
switchboardcell,3,0,0.69999999999999996
switchboardcell,3,1,0.62
switchboardcell,3,2,0.64000000000000001
switchboardcell,3,3,0.71999999999999997
switchboardcell,3,4,0.69999999999999996
switchboardcell,3,5,0.68000000000000005
switchboardcell,3,6,0.71999999999999997
switchboardcell,3,7,0.68000000000000005
switchboardcell,3,8,0.69999999999999996
switchboardcell,3,9,0.57999999999999996
switchboardcell,4,0,0.52000000000000002
switchboardcell,4,1,0.80000000000000004
switchboardcell,4,2,0.69999999999999996
switchboardcell,4,3,0.66000000000000003
switchboardcell,4,4,0.76000000000000001
switchboardcell,4,5,0.80000000000000004
switchboardcell,4,6,0.73999999999999999
switchboardcell,4,7,0.68000000000000005
switchboardcell,4,8,0.66000000000000003
switchboardcell,4,9,0.68000000000000005
switchboardcell,5,0,0.64000000000000001
switchboardcell,5,1,0.64000000000000001
switchboardcell,5,2,0.64000000000000001
switchboardcell,5,3,0.76000000000000001
switchboardcell,5,4,0.73999999999999999
switchboardcell,5,5,0.71999999999999997
switchboardcell,5,6,0.57999999999999996
switchboardcell,5,7,0.56000000000000005
switchboardcell,5,8,0.73999999999999999
switchboardcell,5,9,0.76000000000000001
switchboardcell,6,0,0.66000000000000003
switchboardcell,6,1,0.68000000000000005
switchboardcell,6,2,0.73999999999999999
switchboardcell,6,3,0.73999999999999999
switchboardcell,6,4,0.71999999999999997
switchboardcell,6,5,0.68000000000000005
switchboardcell,6,6,0.76000000000000001
switchboardcell,6,7,0.64000000000000001
switchboardcell,6,8,0.66000000000000003
switchboardcell,6,9,0.66000000000000003
switchboardcell,7,0,0.73999999999999999
switchboardcell,7,1,0.64000000000000001
switchboardcell,7,2,0.76000000000000001
switchboardcell,7,3,0.66000000000000003
switchboardcell,7,4,0.81999999999999995
switchboardcell,7,5,0.62
switchboardcell,7,6,0.54000000000000004
switchboardcell,7,7,0.73999999999999999
switchboardcell,7,8,0.76000000000000001
switchboardcell,7,9,0.59999999999999998
switchboardcell,8,0,0.69999999999999996
switchboardcell,8,1,0.71999999999999997
switchboardcell,8,2,0.69999999999999996
switchboardcell,8,3,0.71999999999999997
switchboardcell,8,4,0.76000000000000001
switchboardcell,8,5,0.73999999999999999
switchboardcell,8,6,0.73999999999999999
switchboardcell,8,7,0.64000000000000001
switchboardcell,8,8,0.69999999999999996
switchboardcell,8,9,0.66000000000000003
switchboardcell,9,0,0.71999999999999997
switchboardcell,9,1,0.69999999999999996
switchboardcell,9,2,0.54000000000000004
switchboardcell,9,3,0.66000000000000003
switchboardcell,9,4,0.71999999999999997
switchboardcell,9,5,0.64000000000000001
switchboardcell,9,6,0.66000000000000003
switchboardcell,9,7,0.71999999999999997
switchboardcell,9,8,0.62
switchboardcell,9,9,0.73999999999999999
switchboardcell,10,0,0.78000000000000003
switchboardcell,10,1,0.73999999999999999
switchboardcell,10,2,0.57999999999999996
switchboardcell,10,3,0.5
switchboardcell,10,4,0.81999999999999995
switchboardcell,10,5,0.73999999999999999
switchboardcell,10,6,0.73999999999999999
switchboardcell,10,7,0.69999999999999996
switchboardcell,10,8,0.64000000000000001
switchboardcell,10,9,0.71999999999999997
switchboardcell,11,0,0.76000000000000001
switchboardcell,11,1,0.71999999999999997
switchboardcell,11,2,0.71999999999999997
switchboardcell,11,3,0.71999999999999997
switchboardcell,11,4,0.69999999999999996
switchboardcell,11,5,0.62
switchboardcell,11,6,0.66000000000000003
switchboardcell,11,7,0.81999999999999995
switchboardcell,11,8,0.64000000000000001
switchboardcell,11,9,0.64000000000000001
switchboardcell,12,0,0.68000000000000005
switchboardcell,12,1,0.71999999999999997
switchboardcell,12,2,0.62
switchboardcell,12,3,0.66000000000000003
switchboardcell,12,4,0.71999999999999997
switchboardcell,12,5,0.76000000000000001
switchboardcell,12,6,0.73999999999999999
